RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,BalanceSegment,TenureSegment,CreditSegment,MonetaryValue,Frequency,Recency,EstimatedAnnualValue,EstimatedLifetime,EstimatedCLV
31,15589475,Azikiwe,591,Spain,Female,39,3,0.0,3,1,0,140469.38,1,,Growing (2-5y),Fair (580-670),0.0,3,8,3000.0,3,0.0
32,15706552,Odinakachukwu,533,France,Male,36,7,85311.7,1,0,1,156731.91,0,Medium (50-100K),Mature (5-8y),Poor (<580),85311.7,1,4,2706.234,12,32474.807999999997
33,15750181,Sanderson,553,Germany,Male,41,9,110112.54,2,0,0,81898.81,0,High (100-200K),Loyal (8y+),Poor (<580),110112.54,2,2,4202.2508,9,37820.2572
34,15659428,Maggard,520,Spain,Female,42,6,0.0,2,1,1,34410.55,0,,Mature (5-8y),Poor (<580),0.0,2,5,2000.0,11,22000.0
35,15732963,Clements,722,Spain,Female,29,9,0.0,2,1,1,142033.07,0,,Loyal (8y+),Good (670-740),0.0,2,2,2000.0,14,28000.0
36,15794171,Lombardo,475,France,Female,45,0,134264.04,1,1,0,27822.99,1,High (100-200K),,Poor (<580),134264.04,1,11,3685.2808,0,0.0
37,15788448,Watson,490,Spain,Male,31,3,145260.23,1,0,1,114066.77,0,High (100-200K),Growing (2-5y),Poor (<580),145260.23,1,8,3905.2046000000005,8,31241.636800000004
38,15729599,Lorenzo,804,Spain,Male,33,7,76548.6,1,0,1,98453.45,0,Medium (50-100K),Mature (5-8y),Excellent (800+),76548.6,1,4,2530.972,12,30371.664000000004
39,15717426,Armstrong,850,France,Male,36,7,0.0,1,1,1,40812.9,0,,Mature (5-8y),Excellent (800+),0.0,1,4,1000.0,12,12000.0
40,15585768,Cameron,582,Germany,Male,41,6,70349.48,2,0,1,178074.04,0,Medium (50-100K),Mature (5-8y),Fair (580-670),70349.48,2,5,3406.9896,11,37476.8856
41,15619360,Hsiao,472,Spain,Male,40,4,0.0,1,1,0,70154.22,0,,Growing (2-5y),Poor (<580),0.0,1,7,1000.0,4,4000.0
42,15738148,Clarke,465,France,Female,51,8,122522.32,1,0,0,181297.65,1,High (100-200K),Mature (5-8y),Poor (<580),122522.32,1,3,3450.4464000000003,8,0.0
43,15687946,Osborne,556,France,Female,61,2,117419.35,1,1,1,94153.83,0,High (100-200K),New (0-2y),Poor (<580),117419.35,1,9,3348.387,7,23438.709000000003
44,15755196,Lavine,834,France,Female,49,2,131394.56,1,0,0,194365.76,1,High (100-200K),New (0-2y),Excellent (800+),131394.56,1,9,3627.8912,2,0.0
45,15684171,Bianchi,660,Spain,Female,61,5,155931.11,1,1,1,158338.39,0,High (100-200K),Growing (2-5y),Fair (580-670),155931.11,1,6,4118.6222,10,41186.221999999994
46,15754849,Tyler,776,Germany,Female,32,4,109421.13,2,1,1,126517.46,0,High (100-200K),Growing (2-5y),Very Good (740-800),109421.13,2,7,4188.4226,9,37695.8034
47,15602280,Martin,829,Germany,Female,27,9,112045.67,1,1,1,119708.21,1,High (100-200K),Loyal (8y+),Excellent (800+),112045.67,1,2,3240.9134,14,0.0
48,15771573,Okagbue,637,Germany,Female,39,9,137843.8,1,1,1,117622.8,1,High (100-200K),Loyal (8y+),Fair (580-670),137843.8,1,2,3756.8759999999997,14,0.0
49,15766205,Yin,550,Germany,Male,38,2,103391.38,1,0,1,90878.13,0,High (100-200K),New (0-2y),Poor (<580),103391.38,1,9,3067.8276,7,21474.7932
50,15771873,Buccho,776,Germany,Female,37,2,103769.22,2,1,0,194099.12,0,High (100-200K),New (0-2y),Very Good (740-800),103769.22,2,9,4075.3844,2,8150.7688
51,15616550,Chidiebele,698,Germany,Male,44,10,116363.37,2,1,0,198059.16,0,High (100-200K),Loyal (8y+),Good (670-740),116363.37,2,1,4327.267400000001,10,43272.674000000006
52,15768193,Trevisani,585,Germany,Male,36,5,146050.97,2,0,0,86424.57,0,High (100-200K),Growing (2-5y),Fair (580-670),146050.97,2,6,4921.0194,5,24605.097
53,15683553,O'Brien,788,France,Female,33,5,0.0,2,0,0,116978.19,0,,Growing (2-5y),Very Good (740-800),0.0,2,6,2000.0,5,10000.0
54,15702298,Parkhill,655,Germany,Male,41,8,125561.97,1,0,0,164040.94,1,High (100-200K),Mature (5-8y),Fair (580-670),125561.97,1,3,3511.2394,8,0.0
55,15569590,Yoo,601,Germany,Male,42,1,98495.72,1,1,0,40014.76,1,Medium (50-100K),New (0-2y),Fair (580-670),98495.72,1,10,2969.9144,1,0.0
56,15760861,Phillipps,619,France,Male,43,1,125211.92,1,1,1,113410.49,0,High (100-200K),New (0-2y),Fair (580-670),125211.92,1,10,3504.2384,6,21025.4304
57,15630053,Tsao,656,France,Male,45,5,127864.4,1,1,0,87107.57,0,High (100-200K),Growing (2-5y),Fair (580-670),127864.4,1,6,3557.288,5,17786.44
58,15647091,Endrizzi,725,Germany,Male,19,0,75888.2,1,0,0,45613.75,0,Medium (50-100K),,Good (670-740),75888.2,1,11,2517.764,0,0.0
59,15623944,T'ien,511,Spain,Female,66,4,0.0,1,1,0,1643.11,1,,Growing (2-5y),Poor (<580),0.0,1,7,1000.0,4,0.0
60,15804771,Velazquez,614,France,Male,51,4,40685.92,1,1,1,46775.28,0,Low (<50K),Growing (2-5y),Fair (580-670),40685.92,1,7,1813.7184,9,16323.4656
61,15651280,Hunter,742,Germany,Male,35,5,136857.0,1,0,0,84509.57,0,High (100-200K),Growing (2-5y),Very Good (740-800),136857.0,1,6,3737.14,5,18685.7
62,15773469,Clark,687,Germany,Female,27,9,152328.88,2,0,0,126494.82,0,High (100-200K),Loyal (8y+),Good (670-740),152328.88,2,2,5046.5776000000005,9,45419.19840000001
63,15702014,Jeffrey,555,Spain,Male,33,1,56084.69,2,0,0,178798.13,0,Medium (50-100K),New (0-2y),Poor (<580),56084.69,2,10,3121.6938,1,3121.6938
64,15751208,Pirozzi,684,Spain,Male,56,8,78707.16,1,1,1,99398.36,0,Medium (50-100K),Mature (5-8y),Good (670-740),78707.16,1,3,2574.1432000000004,13,33463.861600000004
65,15592461,Jackson,603,Germany,Male,26,4,109166.37,1,1,1,92840.67,0,High (100-200K),Growing (2-5y),Fair (580-670),109166.37,1,7,3183.3274,9,28649.946600000003
66,15789484,Hammond,751,Germany,Female,36,6,169831.46,2,1,1,27758.36,0,High (100-200K),Mature (5-8y),Very Good (740-800),169831.46,2,5,5396.629199999999,11,59362.9212
67,15696061,Brownless,581,Germany,Female,34,1,101633.04,1,1,0,110431.51,0,High (100-200K),New (0-2y),Fair (580-670),101633.04,1,10,3032.6607999999997,1,3032.6607999999997
68,15641582,Chibugo,735,Germany,Male,43,10,123180.01,2,1,1,196673.28,0,High (100-200K),Loyal (8y+),Good (670-740),123180.01,2,1,4463.6002,15,66954.003
69,15638424,Glauert,661,Germany,Female,35,5,150725.53,2,0,1,113656.85,0,High (100-200K),Growing (2-5y),Fair (580-670),150725.53,2,6,5014.5106,10,50145.106
70,15755648,Pisano,675,France,Female,21,8,98373.26,1,1,0,18203.0,0,Medium (50-100K),Mature (5-8y),Good (670-740),98373.26,1,3,2967.4651999999996,8,23739.721599999997
71,15703793,Konovalova,738,Germany,Male,58,2,133745.44,4,1,0,28373.86,1,High (100-200K),New (0-2y),Good (670-740),133745.44,4,9,6674.9088,2,0.0
72,15620344,McKee,813,France,Male,29,6,0.0,1,1,0,33953.87,0,,Mature (5-8y),Excellent (800+),0.0,1,5,1000.0,6,6000.0
73,15812518,Palermo,657,Spain,Female,37,0,163607.18,1,0,1,44203.55,0,High (100-200K),,Fair (580-670),163607.18,1,11,4272.143599999999,5,21360.717999999997
74,15779052,Ballard,604,Germany,Female,25,5,157780.84,2,1,1,58426.81,0,High (100-200K),Growing (2-5y),Fair (580-670),157780.84,2,6,5155.6168,10,51556.168
75,15770811,Wallace,519,France,Male,36,9,0.0,2,0,1,145562.4,0,,Loyal (8y+),Poor (<580),0.0,2,2,2000.0,14,28000.0
76,15780961,Cavenagh,735,France,Female,21,1,178718.19,2,1,0,22388.0,0,High (100-200K),New (0-2y),Good (670-740),178718.19,2,10,5574.3638,1,5574.3638
77,15614049,Hu,664,France,Male,55,8,0.0,2,1,1,139161.64,0,,Mature (5-8y),Fair (580-670),0.0,2,3,2000.0,13,26000.0
78,15662085,Read,678,France,Female,32,9,0.0,1,1,1,148210.64,0,,Loyal (8y+),Good (670-740),0.0,1,2,1000.0,14,14000.0
79,15575185,Bushell,757,Spain,Male,33,5,77253.22,1,0,1,194239.63,0,Medium (50-100K),Growing (2-5y),Very Good (740-800),77253.22,1,6,2545.0644,10,25450.644
80,15803136,Postle,416,Germany,Female,41,10,122189.66,2,1,0,98301.61,0,High (100-200K),Loyal (8y+),Poor (<580),122189.66,2,1,4443.7932,10,44437.932
81,15706021,Buley,665,France,Female,34,1,96645.54,2,0,0,171413.66,0,Medium (50-100K),New (0-2y),Fair (580-670),96645.54,2,10,3932.9107999999997,1,3932.9107999999997
82,15663706,Leonard,777,France,Female,32,2,0.0,1,1,0,136458.19,1,,New (0-2y),Very Good (740-800),0.0,1,9,1000.0,2,0.0
83,15641732,Mills,543,France,Female,36,3,0.0,2,0,0,26019.59,0,,Growing (2-5y),Poor (<580),0.0,2,8,2000.0,3,6000.0
84,15701164,Onyeorulu,506,France,Female,34,4,90307.62,1,1,1,159235.29,0,Medium (50-100K),Growing (2-5y),Poor (<580),90307.62,1,7,2806.1524,9,25255.3716
85,15738751,Beit,493,France,Female,46,4,0.0,2,1,0,1907.66,0,,Growing (2-5y),Poor (<580),0.0,2,7,2000.0,4,8000.0
86,15805254,Ndukaku,652,Spain,Female,75,10,0.0,2,1,1,114675.75,0,,Loyal (8y+),Fair (580-670),0.0,2,1,2000.0,15,30000.0
87,15762418,Gant,750,Spain,Male,22,3,121681.82,1,1,0,128643.35,1,High (100-200K),Growing (2-5y),Very Good (740-800),121681.82,1,8,3433.6364000000003,3,0.0
88,15625759,Rowley,729,France,Male,30,9,0.0,2,1,0,151869.35,0,,Loyal (8y+),Good (670-740),0.0,2,2,2000.0,9,18000.0
89,15622897,Sharpe,646,France,Female,46,4,0.0,3,1,0,93251.42,1,,Growing (2-5y),Fair (580-670),0.0,3,7,3000.0,4,0.0
90,15767954,Osborne,635,Germany,Female,28,3,81623.67,2,1,1,156791.36,0,Medium (50-100K),Growing (2-5y),Fair (580-670),81623.67,2,8,3632.4734,8,29059.7872
91,15757535,Heap,647,Spain,Female,44,5,0.0,3,1,1,174205.22,1,,Growing (2-5y),Fair (580-670),0.0,3,6,3000.0,10,0.0
92,15731511,Ritchie,808,France,Male,45,7,118626.55,2,1,0,147132.46,0,High (100-200K),Mature (5-8y),Excellent (800+),118626.55,2,4,4372.531,7,30607.717
93,15809248,Cole,524,France,Female,36,10,0.0,2,1,0,109614.57,0,,Loyal (8y+),Poor (<580),0.0,2,1,2000.0,10,20000.0
94,15640635,Capon,769,France,Male,29,8,0.0,2,1,1,172290.61,0,,Mature (5-8y),Very Good (740-800),0.0,2,3,2000.0,13,26000.0
95,15676966,Capon,730,Spain,Male,42,4,0.0,2,0,1,85982.47,0,,Growing (2-5y),Good (670-740),0.0,2,7,2000.0,9,18000.0
96,15699461,Fiorentini,515,Spain,Male,35,10,176273.95,1,0,1,121277.78,0,High (100-200K),Loyal (8y+),Poor (<580),176273.95,1,1,4525.479,15,67882.185
97,15738721,Graham,773,Spain,Male,41,9,102827.44,1,0,1,64595.25,0,High (100-200K),Loyal (8y+),Very Good (740-800),102827.44,1,2,3056.5488,14,42791.6832
98,15693683,Yuille,814,Germany,Male,29,8,97086.4,2,1,1,197276.13,0,Medium (50-100K),Mature (5-8y),Excellent (800+),97086.4,2,3,3941.728,13,51242.464
99,15604348,Allard,710,Spain,Male,22,8,0.0,2,0,0,99645.04,0,,Mature (5-8y),Good (670-740),0.0,2,3,2000.0,8,16000.0
100,15633059,Fanucci,413,France,Male,34,9,0.0,2,0,0,6534.18,0,,Loyal (8y+),Poor (<580),0.0,2,2,2000.0,9,18000.0
101,15808582,Fu,665,France,Female,40,6,0.0,1,1,1,161848.03,0,,Mature (5-8y),Fair (580-670),0.0,1,5,1000.0,11,11000.0
102,15743192,Hung,623,France,Female,44,6,0.0,2,0,0,167162.43,0,,Mature (5-8y),Fair (580-670),0.0,2,5,2000.0,6,12000.0
103,15580146,Hung,738,France,Male,31,9,82674.15,1,1,0,41970.72,0,Medium (50-100K),Loyal (8y+),Good (670-740),82674.15,1,2,2653.483,9,23881.347
104,15776605,Bradley,528,Spain,Male,36,7,0.0,2,1,0,60536.56,0,,Mature (5-8y),Poor (<580),0.0,2,4,2000.0,7,14000.0
105,15804919,Dunbabin,670,Spain,Female,65,1,0.0,1,1,1,177655.68,1,,New (0-2y),Fair (580-670),0.0,1,10,1000.0,6,0.0
106,15613854,Mauldon,622,Spain,Female,46,4,107073.27,2,1,1,30984.59,1,High (100-200K),Growing (2-5y),Fair (580-670),107073.27,2,7,4141.4654,9,0.0
107,15599195,Stiger,582,Germany,Male,32,1,88938.62,1,1,1,10054.53,0,Medium (50-100K),New (0-2y),Fair (580-670),88938.62,1,10,2778.7724,6,16672.6344
108,15812878,Parsons,785,Germany,Female,36,2,99806.85,1,0,1,36976.52,0,Medium (50-100K),New (0-2y),Very Good (740-800),99806.85,1,9,2996.137,7,20972.959000000003
109,15602312,Walkom,605,Spain,Male,33,5,150092.8,1,0,0,71862.79,0,High (100-200K),Growing (2-5y),Fair (580-670),150092.8,1,6,4001.8559999999998,5,20009.28
110,15744689,T'ang,479,Germany,Male,35,9,92833.89,1,1,0,99449.86,1,Medium (50-100K),Loyal (8y+),Poor (<580),92833.89,1,2,2856.6778,9,0.0
111,15803526,Eremenko,685,Germany,Male,30,3,90536.81,1,0,1,63082.88,0,Medium (50-100K),Growing (2-5y),Good (670-740),90536.81,1,8,2810.7362000000003,8,22485.889600000002
112,15665790,Rowntree,538,Germany,Male,39,7,108055.1,2,1,0,27231.26,0,High (100-200K),Mature (5-8y),Poor (<580),108055.1,2,4,4161.102000000001,7,29127.714000000007
113,15715951,Thorpe,562,France,Male,42,2,100238.35,1,0,0,86797.41,0,High (100-200K),New (0-2y),Poor (<580),100238.35,1,9,3004.767,2,6009.534
114,15591100,Chiemela,675,Spain,Male,36,9,106190.55,1,0,1,22994.32,0,High (100-200K),Loyal (8y+),Good (670-740),106190.55,1,2,3123.811,14,43733.354
115,15609618,Fanucci,721,Germany,Male,28,9,154475.54,2,0,1,101300.94,1,High (100-200K),Loyal (8y+),Good (670-740),154475.54,2,2,5089.5108,14,0.0
116,15675522,Ko,628,Germany,Female,30,9,132351.29,2,1,1,74169.13,0,High (100-200K),Loyal (8y+),Fair (580-670),132351.29,2,2,4647.0258,14,65058.36120000001
117,15705512,Welch,668,Germany,Female,37,6,167864.4,1,1,0,115638.29,0,High (100-200K),Mature (5-8y),Fair (580-670),167864.4,1,5,4357.2880000000005,6,26143.728000000003
118,15698028,Duncan,506,France,Female,41,1,0.0,2,1,0,31766.3,0,,New (0-2y),Poor (<580),0.0,2,10,2000.0,1,2000.0
119,15661670,Chidozie,524,Germany,Female,31,8,107818.63,1,1,0,199725.39,1,High (100-200K),Mature (5-8y),Poor (<580),107818.63,1,3,3156.3726,8,0.0
120,15600781,Wu,699,Germany,Male,34,4,185173.81,2,1,0,120834.48,0,High (100-200K),Growing (2-5y),Good (670-740),185173.81,2,7,5703.4762,4,22813.9048
121,15682472,Culbreth,828,France,Male,34,8,129433.34,2,0,0,38131.77,0,High (100-200K),Mature (5-8y),Excellent (800+),129433.34,2,3,4588.6668,8,36709.3344
122,15580203,Kennedy,674,Spain,Male,39,6,120193.42,1,0,0,100130.95,0,High (100-200K),Mature (5-8y),Good (670-740),120193.42,1,5,3403.8684,6,20423.2104
123,15690673,Cameron,656,France,Female,39,6,0.0,2,1,0,141069.88,0,,Mature (5-8y),Fair (580-670),0.0,2,5,2000.0,6,12000.0
124,15760085,Calabresi,684,Germany,Female,48,10,126384.42,1,1,1,198129.36,0,High (100-200K),Loyal (8y+),Good (670-740),126384.42,1,1,3527.6884,15,52915.326
125,15779659,Zetticci,625,France,Female,28,3,0.0,1,0,0,183646.41,0,,Growing (2-5y),Fair (580-670),0.0,1,8,1000.0,3,3000.0
126,15627360,Fuller,432,France,Male,42,9,152603.45,1,1,0,110265.24,1,High (100-200K),Loyal (8y+),Poor (<580),152603.45,1,2,4052.0690000000004,9,0.0
127,15671137,MacDonald,549,France,Female,52,1,0.0,1,0,1,8636.05,1,,New (0-2y),Poor (<580),0.0,1,10,1000.0,6,0.0
128,15782688,Piccio,625,Germany,Male,56,0,148507.24,1,1,0,46824.08,1,High (100-200K),,Fair (580-670),148507.24,1,11,3970.1448,0,0.0
129,15575492,Kennedy,828,France,Female,41,7,0.0,2,1,0,171378.77,0,,Mature (5-8y),Excellent (800+),0.0,2,4,2000.0,7,14000.0
130,15591607,Fernie,770,France,Male,24,9,101827.07,1,1,0,167256.35,0,High (100-200K),Loyal (8y+),Very Good (740-800),101827.07,1,2,3036.5414,9,27328.872600000002
131,15740404,He,758,France,Female,34,3,0.0,2,1,1,124226.16,0,,Growing (2-5y),Very Good (740-800),0.0,2,8,2000.0,8,16000.0
132,15718369,Kaodilinakachukwu,795,Germany,Female,33,9,130862.43,1,1,1,114935.21,0,High (100-200K),Loyal (8y+),Very Good (740-800),130862.43,1,2,3617.2486,14,50641.4804
133,15677871,Cocci,687,France,Male,38,9,122570.87,1,1,1,35608.88,0,High (100-200K),Loyal (8y+),Good (670-740),122570.87,1,2,3451.4174,14,48319.8436
134,15642004,Alekseeva,686,France,Male,25,1,0.0,2,0,1,16459.37,0,,New (0-2y),Good (670-740),0.0,2,10,2000.0,6,12000.0
135,15712543,Chinweike,789,Germany,Male,39,7,124828.46,2,1,1,124411.08,0,High (100-200K),Mature (5-8y),Very Good (740-800),124828.46,2,4,4496.5692,12,53958.8304
136,15584518,Arthur,589,Germany,Female,50,5,144895.05,2,1,1,34941.23,0,High (100-200K),Growing (2-5y),Fair (580-670),144895.05,2,6,4897.901,10,48979.009999999995
137,15802381,Li,461,Germany,Female,34,5,63663.93,1,0,1,167784.28,0,Medium (50-100K),Growing (2-5y),Poor (<580),63663.93,1,6,2273.2786,10,22732.786
138,15610156,Ma,637,France,Male,40,2,133463.1,1,0,1,93165.34,0,High (100-200K),New (0-2y),Fair (580-670),133463.1,1,9,3669.262,7,25684.834000000003
139,15594408,Chia,584,Spain,Female,48,2,213146.2,1,1,0,75161.25,1,Very High (>200K),New (0-2y),Fair (580-670),213146.2,1,9,5262.924,2,0.0
140,15640905,Vasin,579,Spain,Female,35,1,129490.36,2,0,1,8590.83,1,High (100-200K),New (0-2y),Poor (<580),129490.36,2,10,4589.8072,6,0.0
141,15698932,Groves,756,Germany,Male,44,10,137452.09,1,1,0,189543.9,0,High (100-200K),Loyal (8y+),Very Good (740-800),137452.09,1,1,3749.0418,10,37490.418
142,15724944,Tien,663,France,Male,34,7,0.0,2,1,1,180427.24,0,,Mature (5-8y),Fair (580-670),0.0,2,4,2000.0,12,24000.0
143,15628145,Forwood,682,France,Female,43,5,125851.93,1,1,1,193318.33,0,High (100-200K),Growing (2-5y),Good (670-740),125851.93,1,6,3517.0386,10,35170.386
144,15713483,Greeves,793,Spain,Male,52,2,0.0,1,1,0,159123.82,1,,New (0-2y),Very Good (740-800),0.0,1,9,1000.0,2,0.0
145,15612350,Taylor,691,France,Female,31,5,40915.55,1,1,0,126213.84,1,Low (<50K),Growing (2-5y),Good (670-740),40915.55,1,6,1818.3110000000001,5,0.0
146,15800703,Madukwe,485,Spain,Female,21,5,113157.22,1,1,1,54141.5,0,High (100-200K),Growing (2-5y),Poor (<580),113157.22,1,6,3263.1444,10,32631.444000000003
147,15705707,Bennelong,635,Spain,Female,29,8,138296.94,2,1,0,141075.51,0,High (100-200K),Mature (5-8y),Fair (580-670),138296.94,2,3,4765.9388,8,38127.5104
148,15754105,Olisanugo,650,France,Male,37,5,106967.18,1,0,0,24495.03,0,High (100-200K),Growing (2-5y),Fair (580-670),106967.18,1,6,3139.3435999999997,5,15696.717999999999
149,15703264,Chukwufumnanya,735,France,Male,44,9,120681.63,1,1,0,74836.34,0,High (100-200K),Loyal (8y+),Good (670-740),120681.63,1,2,3413.6326000000004,9,30722.693400000004
150,15794413,Harris,416,France,Male,32,0,0.0,2,0,1,878.87,0,,,Poor (<580),0.0,2,11,2000.0,5,10000.0
151,15650237,Morgan,754,Spain,Female,32,7,0.0,2,1,0,89520.75,0,,Mature (5-8y),Very Good (740-800),0.0,2,4,2000.0,7,14000.0
152,15759618,Alexeeva,535,France,Female,48,9,0.0,1,1,0,149892.79,1,,Loyal (8y+),Poor (<580),0.0,1,2,1000.0,9,0.0
153,15811589,Metcalfe,716,Spain,Male,42,8,0.0,2,1,0,180800.42,0,,Mature (5-8y),Good (670-740),0.0,2,3,2000.0,8,16000.0
154,15689044,Humphries,539,France,Male,37,2,127609.59,1,1,0,98646.22,0,High (100-200K),New (0-2y),Poor (<580),127609.59,1,9,3552.1918,2,7104.3836
155,15709368,Milne,614,France,Female,43,6,0.0,2,1,1,109041.53,0,,Mature (5-8y),Fair (580-670),0.0,2,5,2000.0,11,22000.0
156,15679145,Chou,706,Spain,Male,57,7,0.0,1,1,0,17941.16,1,,Mature (5-8y),Good (670-740),0.0,1,4,1000.0,7,0.0
157,15655007,Li,758,France,Female,33,7,0.0,2,0,0,82996.47,0,,Mature (5-8y),Very Good (740-800),0.0,2,4,2000.0,7,14000.0
158,15623595,Clayton,586,Spain,Female,28,2,0.0,2,1,1,92067.35,0,,New (0-2y),Fair (580-670),0.0,2,9,2000.0,7,14000.0
159,15589975,Maclean,646,France,Female,73,6,97259.25,1,0,1,104719.66,0,Medium (50-100K),Mature (5-8y),Fair (580-670),97259.25,1,5,2945.185,11,32397.035
160,15804017,Chigolum,631,Germany,Female,33,4,123246.7,1,0,0,112687.57,0,High (100-200K),Growing (2-5y),Fair (580-670),123246.7,1,7,3464.934,4,13859.736
161,15692132,Wilkinson,717,Spain,Female,22,6,101060.25,1,0,1,84699.56,0,High (100-200K),Mature (5-8y),Good (670-740),101060.25,1,5,3021.205,11,33233.255
162,15641122,Wei,684,France,Male,30,2,0.0,2,1,0,83473.82,0,,New (0-2y),Good (670-740),0.0,2,9,2000.0,2,4000.0
163,15630910,Treacy,800,France,Female,49,7,108007.36,1,0,0,47125.11,0,High (100-200K),Mature (5-8y),Very Good (740-800),108007.36,1,4,3160.1472,7,22121.0304
